Какое будущее предлагает?
Видишь, Каролинка?
Слоняетесь по лестнице?
Ты так считаешь?
КТО СВАРИЛ ОБЕД?
КУДА СПРЯТАТЬ МЕЛОК?
Пошла на работу?
Что-то теперь будет?
Где ты пропадала?
Почему не приходишь?
Что тут понимать?
Ты чего ревешь?
Хотел унизить учительницу?
Ты что-нибудь заметил?
Кого он обманывал?
Мы не беспокоимся?
Чего он опасался?
Где взять бутылку?
Я потерял жизнь?
Рассказать всю правду?
Кто его издает?
Или ты сомневаешься?
Где искать людей?
Что здесь строят?
Ты любишь сюрпризы?
Что все это значило?
Или все-таки мог?
Здесь есть подвал?
Что собираетесь готовить?
Знакомые буквы ищешь?
Может ей позвонить?
Ты где был?
Ты что заснул?
Разве его выключали?
Тебе грозила опасность?
Неужели она ошиблась?
А вдруг получится?
Что находилось вокруг?
Хочешь, проверим?
Как сломать защиту?
Есть ли такой?
Ленту опять потеряла?
Нешто я неволю?
Кто-то еще пришел?
Вы что-то бережете?
Почему дверца почернела?
Почто бесчинство творишь?
Отпустишь ли ребят?
Почему почернела подковка?
Хочешь, прочту?
Куда мы полетим?
Может, присоединишься?
Слыхал такую пословицу?
Ореховый торт принес?
Тебя не обсчитали?
Что знает Крешимир?
Сколько вам требуется?
С чего начнем?
Неужто не узнали?
И время показывают?
Видите Большую Медведицу?
Кто так просит?
Ты чего хватаешься?
Неужели не слышал?
Давно не виделись?
Может, я?
Кто хочет выступить?
Кто его защитит?
А ты боишься?
Сколько можно есть?
Почему меня выручил?
Дать ему кольцо?
Сколько прошло времени?
Что же оказалось?
Помните Ваську Бугая?
Куда он собирается?
Еле ноги тянешь?
Вернуться на берег?
Да был ли?
Как тут действовать?
Что же получалось?
Овцу не видал?
Можно его загрызть?
Я тебе нравлюсь?
Слышишь, Леокадия?
Где вы попрятались?
И видел ли?
Что ты придумал?
Хочешь мне помочь?
Чего вы удивляетесь?
Где находится тюрьма?
Зачем боишься меня?
Когда это началось?
Почему не борется?
Почему не звонишь?
Чем ты занимался?
Или Джульету репетируешь?
Ты её любишь?
Ты кого-то ждешь?
Чего мы ждем?
Она приобретает семью?
Еще не очухался?
Расту или уменьшаюсь?
Поняла, глупышка?
Или все же рискнуть?
Кто будет петь?
Вы слышите крик?
КТО УКРАЛ КРЕНДЕЛИ?
Хочешь еще сухарик?
Но ты молчишь?
Побежим, посмотрим?
Волосы почему падают?
Неужели Мартин умрет?
Кого утащили вороны?
Как разыскать стаю?
Что они сказали?
И кто забыл?
ГДЕ ИСКАТЬ ОМАРА?
Где они находятся?
Ты скоро приедешь?
Почему не подождать?
Но знаете что?
Что ты умеешь?
Чем могу услужить?
Как им живется?
Чем занимается Олюшка?
Кто это накарябал?
Кто рисовал хряка?
Никто не желает?
Как найти тебя?
Разве мир перевернулся?
Что тебя беспокоит?
Куришь, небось?
Ты куда выходил?
Хотите погладить его?
Кто вырыл его?
Вы разучились разговаривать?
Устраивает это вас?
Что вас смущает?
Кого ты видишь?
Что вы стоите?
Что это кружится?
Где спички достали?
Разве их едят?
Чем они питаются?
Сидеть и ждать?
Ее можно есть?
А где взяли?
Поняла, Валя?
Что ж вышло?
Но как откажешь?
Спросите - почему?
Зачем вести ребят?
А куда переселяться?
Куда уехал цирк?
Куда ушли слоны?
Что же выходило?
Кому я угрожал?
Музыкой ты увлекаешься?
Догадываешься, правда?
Ты не пробовал?
Когда он угомонится?
Ты же видишь?
Каким местом ударился?
Ты читал Шекспира?
Что мы могли?
Где вас воспитывали?
Кто пьет вино?
Как вас понимать?
Видите плетеную изгородь?
Прежде как было?
Стоит ли ссориться?
Что тут замечать?
Синьор изволит смеяться?
Верно я гадаю?
Где они используются?
Вы не заболели?
Что ему предлагают?
Он оскорбляет Бога?
Как вы можете?
Помните басню Крылова?
Что она доказывает?
Но убить его?
Что делает мадам?
Как обозначить эту?
Как его найти?
Слышите гул приветствий?
Что ты скажешь?
Хочешь знать почему?
Разве она сознается?
Ты меня прихлопнул?
Что мы имеем?
Что вы замечаете?
Что он найдет?
Хочешь, попробую?
Может, вспомнишь?
Что, звучит?
Кто хочет высказаться?
Чему я радуюсь?
Как их найти?
Что мы увидим?
Как его звали?
Сколько это будет?
Кто его вытянул?
Противоречит здравому смыслу?
Я так написал?
Вы меня прощаете?
Что мы получим?
Как попала сюда?
Зачем их изучают?
Сколько вы говорите?
Что мы сделали?
Слышали, наверное?
Неужели не видишь?
Откуда ты свалился?
Можно мне посмотреть?
Выйдет или нет?
Опять окно разбил?
Что он уронил?
Сикстен не проснулся?
Почему ты удрал?
Ты так думаешь?
Чего ты дерешься?
Здесь есть кто-нибудь?
Чему они радуются?
Что скажешь тогда?
Где ты прятался?
А не струхнете?
Пойдем, Анника?
А ты помнишь?
Написали бабушке письмо?
Хочешь быть такой?
Шуток не понимаешь?
Надеяться на случай?
Играть в крокет?
Ты пробовала когда-нибудь?
А ты сможешь?
Ты это знаешь?
Куда девался Эмиль?
Неужели я ошибаюсь?
Как я буду?
Что не любишь?
Какие видела фильмы?
Что меня подкупило?
На что надеялся?
А если испытал?
Что же получится?
Как будет дальше?
Что скажет гороно?
Как вы терпите?
Есть ли жена?
Ведется ли учетность?
Может, сегодня?
Пропустила собственное счастье?
Как ей объяснить?
Единственное свое дело?
Как это соединить?
Ну что поделаешь?
Но что вышло?
Полюбить и расстаться?
Как она угадала?
Ты это выдумал?
Кому она говорила?
Неужто все-таки продала?
Подать стакан воды?
Сказать утешающие слова?
Услышали его сердце?
Не узнал меня?
Я ведь прокатился?
Почему она молчит?
Может, бог?
Да и как узнаешь?
Но как заставить?
В ящик бросили?
А что вешает?
Как он забыл?
Значит, по-прежнему?
Пусть как знает?
Неужели не согласится?
Неужели она откажется?
Как его разделили?
Кто заставлял его?
Любит, понятно?
Отец стал выпивать?
А если сдаться?
Что ответит он?
Почему вы решили?
Хочешь, достану?
Как это прошли?
Что мне нравится?
Как бы сделать?
Не началось ли?
Разве не понимаешь?
А вдруг узнает?
Или просто спросит?
Где тогда пропадал?
Опять обмануть хочешь?
ЕСТЬ ЛИ ДЕМОН?
Как ему сказать?
Ты его поднимешь?
Может, боится?
Или не смогу?
Разве можно сравнивать?
Что я знал?
Что он решил?
Чтобы успокоить его?
Ничего не скрыла?
Пойдет к Никодиму?
И что скажет?
Войны не предвидится?
Должен считать отцом?
Прикрыть их собой?
Диктора Воробьеву знаете?
Кому это делать?
С Андроном ладишь?
Продать мамины платья?
Вот я украл?
И он забудет?
Зачем она обманула?
Разве можно лгать?
Зачем рассказываешь мне?
Но - помните?
Кому она печалилась?
Если не вернут?
Ты ел халву?
Разве такое спрашивают?
Про Наполеона знаешь?
Она тоже выцветет?
Исчезают, уходят?
А ежели обчистят?
И что велел?
Позвать на помощь?
Кому они подчиняются?
Смешным можно заменить?
Вас что-то связывало?
Давно кончили юрфак?
Хотите послушать Чехова?
Аль не знал?
Шел в атаку?
Говоришь их кому?
Что делать теперь?
Жизни доброй захотел?
Как  ни  в  чем не бывало дальше поедут?
Далеко ли убежишь?
Не улавливаешь момента?
Что ж получалось?
Как помочь Кате?
Пошла своей дорогой?
На кого рассчитывала?
Было ли это?
С кем-нибудь говорил?
Кто-то уже приехал?
А стоит ли?
Что думал он?
Когда все будет?
Узнаю ли я?
Зачем ты скрываешь?
Что же осталось?
Ты не узнаешь?
Вдруг не придется?
Было ли все это?
Выходит из себя?
Кто это поймет?
Да  и куда пойдешь?
А вдруг думали?
Чтоб неповадно было?
Чтоб не вздумала?
Радость любимого дела?
А что возникает?
Как это получается?
Какой она стала?
Оставаться на вокзале?
Разве она ночевала?
Начать жизнь снова?
Думаете, домой?
Помните диалектический материализм?
Смириться с этим?
Способен ты предать?
Позавидовали чужому успеху?
Чего я добиваюсь?
Они не знают?
Каким оно будет?
С кем сражается?
Что он даст?
Знаете, как?
Как его понять?
Бывало ли былинное?
Были ли герои?
И были ли?
Куда же денешься?
Зачем я расту?
Или танцевать разучились?
Вышел из доверия?
Какая ты стала?
Кто это знает?
Ты тоже мерзла?
Кто ее научил?
Как смогла она?
Как она посмела?
Чего ты волнуешься?
Значит, отец?
Мальчик не проболтается?
Помните Золушкины башмачки?
Когда это будет?
Когда все построят?
Но кто даст?
Как тут разберешься?
А Рабико принять?
Может, подойдет?
Или мне померещилось?
Но как сделать?
Куда девался носорог?
А что пишут?
Думаете, растеряюсь?
Хочешь помогать мне?
Ты перестанешь перебивать?
Но как догадаться?
Пойдем кусать слонов?
Сгодится для фокусов?
Ты меня звал?
В речке утонул?
А ты радуешься?
Как ты скажешь?
Не знаешь закона?
Как мать звала?
Тебя тоже украли?
Неужели не спрячу?
Может, проводишь?
Небось лихо пришлось?
А если обманешь?
Он тоже спит?
Как его разбудить?
Можешь идти дальше?
Женишься на мне?
Когда принесли напиток?
Что ты слышал?
Хорошо ли понял?
Как не знать?
Кому донесение нести?
Где преклонить голову?
О чём задумалась?
Может, помилуют?
В силе будет?
Пойдем в комнату?
Хочешь, покажем?
Угостить вас сосисочкой?
Можно это понять?
Кто запер дверь?
Как тебе помочь?
А получил что?
Может, объяснишь?
Чего он ждал?
Не слышишь разве?
Почем я знаю?
Или сварить каши?
Когда он придет?
Как туда попасть?
Чем это заканчивалось?
Тебе не надоело?
Ты математику учил?
Чем кончился суд?
Что там делали?
Что тебя ожидало?
Чем все это кончится?
Который был час?
Сколько ты принес?
Ты очень устал?
Кто-нибудь же есть?
Было ли землетрясение?
Как ее выкачать?
Куда мы шли?
Как узнать правду?
Вы знаете Лизу?
Как потратить миллион?
Дома положить паркет?
Может на полке?
Может Синди позвонить?
В долг одежду попросить?
А почему смеешься?
Что я наделал?
Куда ты убегаешь?
Ты недавно родилась?
Зачем же ссориться?
Хочешь жить вместе?
Слышали, господа?
Кажется, понятно?
Кто ее потревожил?
Но как отвечать?
Думаете, боятся?
Они как рассуждали?
Нравлюсь я тебе?
В чем нуждаешься?
Дальше что будет?
А кто говорит?
Только куда сбежишь?
Или зарплату прибавили?
Непыльную работку отвалили?
И знаешь почему?
Кого мы готовим?
А если соглашусь?
Кого они учат?
Куда пошла инспектор?
Юсупова выдвигает группа?
Научим ермолинцев работать?
Ко мне зайдете?
Может, пригодятся?
Как он поживает?
На собрании выступишь?
Кому охота мокнуть?
Сколько лет минуло?
Куда теперь обращаться?
И еще торгуешься?
Дать мне взятку?
И что любил?
Не приходил еще?
Думаешь, вру?
Едем к нам?
Как, говоришь?
Куда веревочка делась?
Куда идти прикажете?
Каково почивать изволили?
Что еще стряслось?
Отчего не выпить?
Прикажете подать карету?
Что, чихаешь?
На волю просишься?
Доведется ли свидеться?
Аль не угодил?
А изменять будешь?
Как не найти?
Что таращите глаза?
Что устроили базар?
Разве так спят?
КТО КОЛЕЧКО НАЙДЕТ?
Кто желает посмотреть?
ЧЕГО БОЯЛСЯ ПЕТЯ?
ОТКУДА СТОЛ ПРИШЕЛ?
Поскольку достанется вам?
Иль не видите?
Понял, Григорий?
Слышал, Василий?
КТО ВЫЗВАЛ БУРЮ?
ЧТО КУПИЛ Я?
Аль не видишь?
Хочешь про козла?
Отчего он убежал?
Небось хотите сливок?
На шубку хватит?
Довел, значит?
Есть тут подснежники?
А найдет она?
Не вы рвали?
Как не видать?
А кто дал?
Это что значит?
Не признаете ли?
Королева, говоришь?
Чем услужить можем?
Найдется у вас?
Отчего не показать?
Ты не шутишь?
Уступишь, парень?
Сколько стоит дудка?
Принять в дар?
Адрес он оставил?
Это ты пел?
Куда цветочки девать?
Как не знаешь?
Зачем отпускать музыканта?
Разве не слышишь?
Кто желает молока?
Мою лучшую бритву?
Кто нарушил закон?
Что он украл?
Что вы принесли?
Зачем открыл Америку?
Отчего не поцеловаться?
У кого купил?
Разве боитесь ее?
Он что делает?
А билет есть?
Как второго звать?
А мама придет?
Где вы проживали?
Будете говорить правду?
Кто тебя послал?
Здесь живет Воронов?
Неужели не видите?
Слышите, гражданка?
Кто-нибудь тут есть?
Откуда ты говоришь?
Почему вы спросили?
Наверно, сочувствуют?
Водки не хватило?
Их нужно взять?
Куда их спрячем?
Слышали такую пословицу?
Не верите мне?
Вы уже пронюхали?
Кого ты ждал?
Почему она плачет?
Думаете, испугался?
Устал, Миша?
Опять ракетчиков ловить?
Дома часто бываешь?
Что вы кричите?
Не лопнешь ведь?
Сталинград еще держится?
Батарейки не выдохлись?
А вы учитесь?
Ты давно пришел?
Хотя знаете что?
Где мальчишек встретили?
Тогда будете ухаживать?
Тебя Василием зовут?
Тебя как величают?
Хорошо жить хочешь?
Опять украл что-нибудь?
Затерло, значит?
Не врет он?
Что ты болтаешь?
Слышишь, Люся?
Вас не ранило?
Здесь нельзя ловить?
Как Славик поживает?
Разрешите еще закурить?
А то бы съели?
Значит, поняла?
Вы любите технику?
Много приходится работать?
Неужели ушел совсем?
Вызвать сигналом Буракова?
Это твой берет?
Кто будет отвечать?
Ты любишь пироги?
Что его обеспокоило?
Кто там пришел?
Приехало твое насекомое?
Отказаться от операции?
Хочешь, продам?
Чего ты привязался?
Кто тебя уполномочил?
Папа не вернулся?
Приостановит свою операцию?
Ты откуда звонишь?
Как ты сказала?
А вдруг признаетесь?
Вы заплатили деньгами?
Ты когда вернулся?
Успеет ли она?
Вы зачем пришли?
Приехал ли он?
Сигналы запомнил хорошо?
Что сейчас делают?
Это кто говорит?
Как вы погуляли?
Ты его любишь?
Что ему стоит?
Зачем приехал сюда?
Зачем она вернулась?
Кого я любил?
А если катить?
Или мне снится?
Или вы передумали?
Не добежал еще?
Чего рот разинул?
Тоже не знаешь?
Никак, ревешь?
В такой день?
Хромая, говоришь?
Что, опешила?
Обрадовались ли овцы?
Как предупредить Миккеля?
Из цветного стекла?
Еще не проголодались?
Не хулиганишь тут?
Переживал ли я?
Вы приготовили урок?
ЛЮБЯТ ТЕБЯ РОДИТЕЛИ?
Куда они помчались?
Или Игорь рассказал?
Кто хочет сказать?
В кино сидел?
Что его интересует?
Какие книжки читает?
КУДА ТЫ БЕЖИШЬ?
Когда макулатуру собираешь?
Вы найдете Васю?
Ведь что получается?
Ты где живешь?
Как же выкрутиться?
Где он обитает?
В Волгограде живешь?
Ты куда спрятался?
Вы перестанете отвлекаться?
Слышишь, Малинин?
Понимаешь, нагружать?
И кто обидел?
На чём уплыть?
Как это улететь?
Застоялся, наверно?
Не верите ведь?
Проходил в школе?
Кто кем будет?
А чем пахнут?
Нина не приходила?
Так и сказал?
А показать можешь?
А силки переставил?
Выходите из себя?
Этому разве научишь?
А не вырвутся?
Чего он сказанул?
Кто кого проверяет?
Кто кого воспитывает?
Почему не тонет?
Почему не смыкается?
Где взять время?
Как, поймали?
Репин, значит?
Что значит это?
Кто будет уступать?
Кто должен поднять?
Что предпринять дальше?
Кто нашел хвост?
Понимаешь, Сова?
Тигры любят мед?
Давай еще разок?
Дрожал ли он?
Я тебе говорил?
Есть еще предложения?
Тигеры любят мед?
Пожалуй, пойду?
Понимаешь, Пух?
Тигеры умеют плавать?
И куда денешься?
Зеркало не врет?
Вам нравятся кролики?
Как они называются?
Осмелится ли он?
Стоит ли рискнуть?
Тебе приснились лодки?
Помашем им рукой?
Это имеет значение?
Вы меня презираете?
Вы служите здесь?
Когда произошло ограбление?
Знаете вы Егорку?
Что вы спросили?
Услышать звездный зов?
Куда отправилась Герда?
Или постирать что-нибудь?
Зачем пошла опять?
Прийти ко мне?
Ты тут остаешься?
Куда девался Радж?
Бензопил не видели?
Уже уезжаешь отсюда?
Почему так поддаешься?
На Горном остались?
Может, мусульманин?
Вон, слышишь?
Не называл его?
Сюда уже добрался?
Временно отменят представления?
Как отреагирует Амара?
Катер может подойти?
Понадобится, верно?
Обозначить место гибели?
Где Янг оказался?
Что там делается?
А кому крикнешь?
Чего вы сидите?
Взяли под стражу?
Кому они звонят?
В космос полетел?
Да разве попадешь?
А кто заплатит?
О дельфинах читал?
Хотите быть артистами?
Слыхали такое дело?
Где вы подевались?
Может, студенты?
Неужели не справимся?
Всё сначала начинать?
Дать ему разок?
Лучше пыль глотать?
Или куда сбегать?
Будет мне место?
Да пролезешь ли?
Ты не ошибся?
Чем закусить желаете?
А что заставят?
Сказать что-нибудь хотите?
Уймись, слышишь?
Забыл Дарью Семеновну?
С чего начинаете?
Ты чего задумался?
Ты чего молчишь?
За что пострадал?
Что за кости?
Поди, умаялся?
Откуда вы узнали?
Чайку кто желает?
Взысканий не было?
Как вас довезли?
Почему не хотел?
Вы что-нибудь поняли?
Чем прикажете угостить?
Что будете кушать?
Вы не устали?
Вы не танцуете?
Значит, категорически?
Я его знаю?
Ничего не потребуется?
Будут еще заказы?
Я не понравился?
Куда вы провалились?
Тоже где-нибудь задержалась?
Разрушаете нашу компанию?
Вас кто-нибудь встречает?
Хотите, расскажу?
Где это капает?
Кто был прав?
И ужин съели?
Откуда вы взяли?
Кто вас встречал?
Почему не подъехать?
Слышали, граждане?
Что вы сидите?
Ах, пришел?
Что видят ребятишки?
А как разбирают?
Чего она копается?
Куда кум девался?
А толку чуть?
Лично не слышал?
Никто не обзывал?
Как идет спектакль?
Кто еще смотрит?
Неужели сам позвонил?
Раньше как было?
Как это уступить?
Кто нас выселяет?
Вы нас выселяете?
Что ты понял?
А мы останемся?
Не обращать внимания?
Неужели мы дрогнем?
Не напомните ли?
Можно не петь?
Я его обидела?
Вы меня узнали?
Что вы понимаете?
Где он работает?
Вы любите животных?
Как вам объяснить?
Неужели не слышит?
Все, кажется?
А она заведется?
Был в Штатах?
Я правильно сказал?
Чего не понимаю?
А если сбежать?
Как позвонить портье?
Узнаешь своего родственника?
Отец выкупил меня?
Возможно ли замять?
Чем вас унижали?
Куда прикажешь деть?
Чего ты дрожишь?
Кто это лежит?
Чего ты отстаешь?
Что, испугалась?
Они еще спят?
Какое такое дело?
Чего ты просишь?
Еще что скажешь?
Почему не попробовать?
С кем посоветовались?
Почему не похвалить?
Как прикажете понимать?
Как Смурной живет?
Кто тебя оплевал?
Как вы поможете?
Где она бродит?
Чего вы стоите?
Я не ошиблась?
Передо мной робеете?
От чего помогает?
Хуже не будет?
Где нужно подписать?
Подписать что надо?
Может, подпишешь?
Где вы сидите?
Что стыдно слушать?
Что вы принимаете?
Значит, болеешь?
А бюро идет?
Вам уже доложили?
Как ты жил?
А найдешь его?
Как что делать?
Почему не позвонил?
Ты написал книгу?
Что говорят друзья?
Любишь подарки получать?
Мы еще увидимся?
Мы будем ужинать?
С чем пожаловали?
Он очень страдает?
Командует, говоришь?
Что спросить хотела?
Вы боитесь смерти?
Что вы читаете?
Вам можно позвонить?
Зачем же умирать?
Что ты поняла?
Зачем тогда жить?
Вы ее видите?
Есть куда поставить?
Как прошла операция?
А есть надежда?
Кто нас познакомил?
Кому ее предложить?
Стать вашим соавтором?
Зачем же считать?
Можно подавать обед?
Сколько вы заработали?
Когда вы успели?
Кого-нибудь встречаете сегодня?
Название вас устраивает?
Мальчишек что интересовало?
Кто не рекомендует?
Галстук мне привезла?
За что пьем?
Кто ее снял?
И диплом есть?
Какие наши дела?
Разве есть жалобы?
Однофамилец, говоришь?
Чем бриться будем?
Чего тут проверять?
Как покойники лежат?
Шуток не понимаете?
Почему не берешь?
Ты меня уважаешь?
А ты чувствуешь?
Чем еще порадуешь?
А зачем воровали?
Небось тоже смеялись?
Теперь ты сидишь?
Хорошо меня слышишь?
Выполнишь мою просьбу?
Где именно общаться?
Где будет он?
Мы не опоздали?
Еще не привезли?
Знаете последнюю новость?
Для какого дела?
Разве я отрицаю?
Ведь не можешь?
Что значит молчит?
На пленку взяли?
А Валерия видишь?
Ничего не перепутала?
Как себя вести?
Я его заинтересовала?
Кто тебе звонил?
Вертихонина зачем включил?
Значит, приехали?
Как их препарировали?
Проконсультировал твою работу?
Кто меня зовет?
Машина не заводится?
Тогда возьмете такси?
Как она действует?
Достал - таки?
Больше не удалось?
Хозяин еще отдыхает?
Тебя можно поздравить?
Где прикажете приземлиться?
За что благодаришь?
Чем народ удивишь?
Материал не пойдет?
Сняли, говоришь?
Опять получили указание?
Как это столкнуть?
Меня так зовут?
Возьмем и откажем?
Куда они уехали?
И не спиваются?
Зину Потемкину помните?
За дело посадили?
И убил человека?
Ушел из семьи?
Никто не утонул?
Вы пишете комедию?
Так как же быть?
Как избежать банальностей?
Куда вы ездили?
Ты не выспался?
Она уже позавтракала?
Что вас интересует?
Верхнереченск не отвечает?
Где ты купался?
Ну что полез?
Кто заказывал Верхнереченск?
Что еще случилось?
Соблазнили нашу старушку?
Что ты мелешь?
Кто его переименовал?
Что вы играли?
Куда ты уезжаешь?
Вы меня звали?
Или рассказать что-нибудь?
Вы были наедине?
Я не помешаю?
Ты помнишь Илью?
Он отказался оперировать?
Кто его звал?
Разрешите на минутку?
Как это оборачивается?
Этому есть доказательства?
Как вы расстались?
Слышишь, Олечка?
Стоите у станка?
Ты чаю хочешь?
Ты успеешь собраться?
Олечка, поднесешь?
Где мы встретимся?
С луны свалился?
Ты меня спас?
Что скажет отец?
Никто не звонил?
Большой доклад получился?
Вы знаете новость?
Помнишь, Самсоня?
Кто ее пропустил?
Разве я обижусь?
Узнал Степан Феофанович?
Обручальные кольца купили?
А успеют до завтра?
Откуда он узнает?
Будут какие-нибудь указания?
Кто ее написал?
Кто где сядет?
Что они видели?
Кого мне подсунули?
Кто его оформлял?
Где голова была?
О гонорарах думаешь?
Зачем ты вернулась?
Ты не ушла?
Строишь какие-нибудь модели?
Чего ты спрашиваешь?
Кем отец работает?
Что млеко есть?
Ты мне поможешь?
С кем разговариваю?
Ты убил быка?
Почему не кидаешь?
Ты фехтовать умеешь?
Вы мне предлагаете?
Не будешь мстить?
Неужели ребята поверили?
Чего ты хохочешь?
Ты любишь грибы?
В Ленинграде был?
Много грибов собрала?
Ты что-нибудь надумал?
Куда он уехал?
Когда он уехал?
Уехал в Мексику?
Чего ты копаешься?
Что Старушки вышивали?
Можно платье почитать?
Что здесь произошло?
Чем станешь ты?
Что-то будет впереди?
Что поникли головой?
Кто чинил его?
Кто носил его?
Ходить в универмаг?
Что вы слышали?
Неужели мама заболела?
Ты взяла купальник?
Кто нам поможет?
Разве его разбудишь?
Вы будете прыгать?
Неужели ты можешь?
Чего они ждут?
Вы не ссорились?
Нас будут кормить?
А близнецы растут?
Куда велите ставить?
Как ты добралась?
И что получается?
Родственники не возражают?
Тебе это удалось?
Что ты узнала?
Можно ему прыгать?
Значит, есть?
Вы будете строиться?
Хотите что-нибудь повеселее?
Куда велите поставить?
Кто оказался прав?
Кто тебя наказал?
Она была добрая?
Совсем не было?
Вы меня вызывали?
Ты говоришь по-русски?
Фрау тебя кормит?
Учит какому-нибудь ремеслу?
Почему меня обманули?
Почему ты убежал?
Помнишь, Марта?
Откуда ты появился?
Удрал из приюта?
Хочешь в Москву?
Да что случилось?
А кто утопился?
А кто даст?
Откуда знаешь меня?
Алиса, искупнешься?
Понравилась ты себе?
Ты куда ехала?
Что ему скажем?
Кто хочет погрести?
Куда ему идти?
Да  и зачем рассказывать?
Есть там такое?
Как быть дальше?
Второе блюдо нести?
Что скажет тетка?
Еще раз хочешь?
Не слышите разве?
Как он посмел?
Кто тебя держит?
Куда ты несешься?
Неужто пару схватил?
Можно их навестить?
Ведь приятно было?
Выбросить за ограду?
Белый Лось приходит?
Сдружится с ним?
Ведь могут же?
Не поделили что-нибудь?
Спасся ли кто-нибудь?
Копаешься в себе?
Мог ведь забыть?
Видел Сережу Рукавицына?
А не выгонит?
Кто его просил?
Значит, выпустили?
Как им помочь?
Выходит, разрешили?
Не напрасно взяли?
Кто хочет взглянуть?
Но куда сесть?
Тебе они нравятся?
Не страшно будет?
Она так сказала?
Употребляют в производство?
И вышли наружу?
Не чувствовал боли?
Какое его дело?
Разве упомнишь всё?
Собственной тени боится?
Кого так испугались?
Хочешь, сейчас?
Ты чему радуешься?
Хочешь испортить его?
Или ты спятил?
Нельзя ли ясней?
Чего он добился?
Не проснулся ли?
Спрятать приборчик подальше?
У Попугая научился?
Давай знаешь что?
Купить тебе аквариум?
Ты уроки сделал?
Как объяснить всё?
Я приказал тебе?
Надо что-нибудь сделать?
Может, сбежать?
Неужто подалась вбок?
Покажешь мне их?
За юшку нанялся?
А что сделаешь?
На себе потащим?
А что оказалось?
Как туда проползти?
Хорошо я тикаю?
Воробей что-нибудь напутал?
ГДЕ НАХОДЯТСЯ УРОКИ?
Откуда она появилась?
Можно там посидеть?
Давал ей пробовать?
Пошла к врачу?
Кто вылизал квартиру?
Как помочь Данке?
Выйти к нему?
А вдруг стрельнет?
Каким он был?
Тогда как быть?
Только как же быть?
Которая немного шепелявит?
Может, одолжите?
Еще кто-то смеется?
Я разве спал?
Но кому сдаваться?
А когда выступим?
Как ты спасся?
Или мне послышалось?
Ты телевизор смотришь?
Верите вы ему?
Зачем солому разбрасываете?
По мордасам захотели?
Какое ты любишь?
Единогласно, понял?
Где их возьмем?
Ты чего подглядываешь?
Тебе какое дело?
Но кто полетит?
Вы видите ее?
Неужели цветка испугалась?
Где мы находимся?
Мы не ослышались?
Какими люди будут?
Опять потерял ключ?
Было ли оно?
А как живут?
А куда уйдешь?
Слыхали, наверное?
Какие последуют распоряжения?
Где тут искать?
Вы мне разрешите?
Так вы доверяете?
Кто правит ими?
Нарвалы заняли позиции?
Правда, можем?
Ведь сможем же?
Ты умеешь говорить?
Кто убил принцессу?
Домой, говорите?
Говорить не умеешь?
Что он замышляет?
Но что произошло?
Думаешь, легко?
Может, наговаривают?
Как тут удержаться?
Да разве объяснишь?
Как ей помочь?
Плавать хоть умеете?
Неужели не видели?
Может, попробовать?
ПОЧЕМУ РАССЕРДИЛАСЬ МА?
Что случилось бы?
Почему попал сюда?
Говорила тебе Джен?
Не ослышался ли?
Это вас устроит?
Что тут объяснять?
Годится для газеты?
Кого он знает?
Даже знаете что?
Куда вы идете?
Вы собрали их?
Ты что раскудахтался?
Слышал про Питера?
Разве доставалось уже?
Сколько раз тер?
Имеются другие мнения?
Может, заболел?
Не натворит бед?
Может, слышала?
На звезды смотреть?
Зачем же разбирать?
Не было такого?
Есть или нет?
ГДЕ ПРОСЫПАЕТСЯ СОЛНЦЕ?
Сдать на воротник?
Какой адрес напишем?
Пришли рожок послушать?
Ты дома пообедал?
Не стащили ли?
Михаил не проезжал?
Упало подгнившее дерево?
Бросил, поди?
Где их увидишь?
Кто сахарницу разбил?
Чего мы хотим?
Хотите увидеть Планетарку?
Еще есть вопросы?
Почему раньше молчала?
Ты куда идешь?
Будто не помнишь?
Что вы слышите?
Обезьяну выпустить хочешь?
Как пролезешь туда?
Чем это кончится?
Куда вас носило?
Зачем рукавички бросают?
Никак, засыпаешь?
Что вы испытывали?
Почему стены шатаются?
Кто так стреляет?
Чего вы стесняетесь?
А вдруг есть?
И не кусается?
Хотите десять фефтингов?
И чем занимаетесь?
Не слыхали разве?
Разве не ночевать?
Вы слышали выстрел?
Ты будешь есть?
А камнесосы бывают?
Отчего бывает тепло?
Сколько всего будет?
Как делать слона?
Вы чего улыбаетесь?
Вы куда едете?
Справлюсь ли я?
Или не можешь?
Да и как посылать?
А чем достигалось?
Что я думал?
Ты продал картину?
Что варить будем?
Почему каша лезет?
Куда-то еще залетит?
Зачем же вставать?
Что ты сделаешь?
Правду я говорила?
Куда она ходила?
Надо ли ждать?
Кто это писал?
Что ты знаешь?
Пушкин рожать будет?
Все ведь знают?
Хочешь, хочешь?
Не желаете ли?
Тебе какая понравилась?
